Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1981-09-27,,,,663.0,
1981-09-28,,,,620.0,
1981-09-29,,,,583.0,
1981-09-30,,,,563.0,
1981-10-01,,,,581.0,
1981-10-02,,,,673.0,
1981-10-03,,,,636.0,
1981-10-04,,,,573.0,
1981-10-05,,,,533.0,
1981-10-06,,,,502.0,
1981-10-07,,,,471.0,
1981-10-08,,,,448.0,
1981-10-09,,,,440.0,
1981-10-10,,,,450.0,
1981-10-11,,,,455.0,
1981-10-12,,,,435.0,
1981-10-13,,,,416.0,
1981-10-14,,,,410.0,
1981-10-15,,,,419.0,
1981-10-16,,,,414.0,
1981-10-17,,,,416.0,
1981-10-18,,,,431.0,
1981-10-19,,,,455.0,
1981-10-20,,,,486.0,
1981-10-21,,,,494.0,
1981-10-22,,,,500.0,
1981-10-23,,,,519.0,
1981-10-24,,,,540.0,
1981-10-25,,,,611.0,
1981-10-26,,,,737.0,
1981-10-27,,,,751.0,
1981-10-28,,,,663.0,
1981-10-29,,,,636.0,
1981-10-30,,,,635.0,
1981-10-31,,,,578.0,
1981-11-01,,,,598.0,
1981-11-02,,,,835.0,
1981-11-03,,,,756.0,
1981-11-04,,,,654.0,
1981-11-05,,,,586.0,
1981-11-06,,,,547.0,
1981-11-07,,,,595.0,
1981-11-08,,,,711.0,
1981-11-09,,,,804.0,
1981-11-10,,,,806.0,
1981-11-11,,,,712.0,
1981-11-12,,,,713.0,
1981-11-13,,,,740.0,
1981-11-14,,,,662.0,
1981-11-15,,,,621.0,
1981-11-16,,,,611.0,
1981-11-17,,,,621.0,
1981-11-18,,,,565.0,
1981-11-19,,,,518.0,
1981-11-20,,,,511.0,
1981-11-21,,,,503.0,
1981-11-22,,,,461.0,
1981-11-23,,,,430.0,
1981-11-24,,,,422.0,
1981-11-25,,,,436.0,
1981-11-26,,,,468.0,
1981-11-27,,,,517.0,
1981-11-28,,,,528.0,
1981-11-29,,,,504.0,
1981-11-30,,,,464.0,
1981-12-01,,,,430.0,
1981-12-02,,,,410.0,
1981-12-03,,,,409.0,
1981-12-04,,,,423.0,
1981-12-05,,,,479.0,
1981-12-06,,,,475.0,
1981-12-07,,,,437.0,
1981-12-08,,,,431.0,
1981-12-09,,,,434.0,
1981-12-10,,,,448.0,
1981-12-11,,,,452.0,
1981-12-12,,,,447.0,
1981-12-13,,,,434.0,
1981-12-14,,,,500.0,
1981-12-15,,,,688.0,
1981-12-16,,,,912.0,
1981-12-17,,,,809.0,
1981-12-18,,,,638.0,
1981-12-19,,,,696.0,
1981-12-20,,,,717.0,
1981-12-21,,,,595.0,
1981-12-22,,,,536.0,
1981-12-23,,,,516.0,
1981-12-24,,,,493.0,
1981-12-25,,,,479.0,
1981-12-26,,,,463.0,
1981-12-27,,,,464.0,
1981-12-28,,,,469.0,
1981-12-29,,,,513.0,
1981-12-30,,,,557.0,
1981-12-31,,,,504.0,
1982-01-01,,,,460.0,
1982-01-02,,,,441.0,
1982-01-03,,,,429.0,
1982-01-04,,,,434.0,
1982-01-05,,,,434.0,
1982-01-06,,,,411.0,
1982-01-07,,,,396.0,
1982-01-08,,,,397.0,
1982-01-09,,,,393.0,
1982-01-10,,,,376.0,
1982-01-11,,,,370.0,
1982-01-12,,,,376.0,
1982-01-13,,,,392.0,
1982-01-14,,,,390.0,
1982-01-15,,,,523.0,
1982-01-16,,,,798.0,
1982-01-17,,,,694.0,
1982-01-18,,,,569.0,
1982-01-19,,,,508.0,
1982-01-20,,,,490.0,
1982-01-21,,,,485.0,
1982-01-22,,,,435.0,
1982-01-23,,,,411.0,
1982-01-24,,,,412.0,
1982-01-25,,,,401.0,
1982-01-26,,,,388.0,
1982-01-27,,,,383.0,
1982-01-28,,,,400.0,
1982-01-29,,,,730.0,
1982-01-30,,,,727.0,
1982-01-31,,,,775.0,
1982-02-01,,,,803.0,
1982-02-02,,,,754.0,
1982-02-03,,,,659.0,
1982-02-04,,,,546.0,
1982-02-05,,,,477.0,
1982-02-06,,,,449.0,
1982-02-07,,,,464.0,
1982-02-08,,,,415.0,
1982-02-09,,,,380.0,
1982-02-10,,,,384.0,
1982-02-11,,,,378.0,
1982-02-12,,,,524.0,
1982-02-13,,,,572.0,
1982-02-14,,,,466.0,
1982-02-15,,,,449.0,
1982-02-16,,,,427.0,
1982-02-17,,,,376.0,
1982-02-18,,,,339.0,
1982-02-19,,,,316.0,
1982-02-20,,,,306.0,
1982-02-21,,,,304.0,
1982-02-22,,,,295.0,
1982-02-23,,,,294.0,
1982-02-24,,,,295.0,
1982-02-25,,,,293.0,
1982-02-26,,,,284.0,
1982-02-27,,,,273.0,
1982-02-28,,,,262.0,
1982-03-01,,,,256.0,
1982-03-02,,,,256.0,
1982-03-03,,,,268.0,
1982-03-04,,,,283.0,
1982-03-05,,,,289.0,
1982-03-06,,,,290.0,
1982-03-07,,,,284.0,
1982-03-08,,,,288.0,
1982-03-09,,,,334.0,
1982-03-10,,,,317.0,
1982-03-11,,,,283.0,
1982-03-12,,,,259.0,
1982-03-13,,,,244.0,
1982-03-14,,,,242.0,
1982-03-15,,,,237.0,
1982-03-16,,,,237.0,
1982-03-17,,,,307.0,
1982-03-18,,,,344.0,
1982-03-19,,,,379.0,
1982-03-20,,,,342.0,
1982-03-21,,,,442.0,
1982-03-22,,,,419.0,
1982-03-23,,,,397.0,
1982-03-24,,,,430.0,
1982-03-25,,,,379.0,
1982-03-26,,,,322.0,
1982-03-27,,,,282.0,
